"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"15","22630"," 22326"," 20726"," 20725"," 22328"," 22382"," 22629"," 22631"," 22555"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","21913"," 22431"," 22432"," 21746"," 21747"," 22272"," 22273"," 22565"," 22090"," 47566B"," 84569B"," 84569A"," 21715"," 21716"," 21718"," 22551"," 22554"," 20694"," 20699"," 20728"," 20726"," 20725"," 21561"," 21559"," 22629"," 22630"," POST"," 21866"," 20750"," 22276"," 20665"," 21576"," 22372"," 47566"," 22613"," 22382"," 22383"," 23208"," 23206"," 22662"," 21918"," 21829"," 37495"," 22405"," 21222"," 84580"," 84581"," 23256"," 23254"," 47591D"," 22367"," 22908"," 23245"," 22423"," 22776"," 22799"," 21671"," 22509"," 20914"," 22727"," 22151"," 23170"," 22699"," 22712"," 22029"," 22557"," 22326"," 22139"," 23292"," 23345"," 23346"," 23190"," 22396"," 20983"," 20981"," 21249"," 21981"," 22491"," 16048"," 16238"," 22891"," 22555"," 22328"," 22352"," 23209"," 22659"," 23291"," 23290"," 23289"," 21936"," 21535"," 21533"," 23175"," 23174"," 22930"," 22937"," 23243"," 22722"," 20985"," 21832"
"17","20685"," 22691"," 48116"," 21213"," 21977"," 21976"," 21212"," 84992"," 84991"," 21974"," 21973"," 21211"," 21124"," 21122"," 21123"," 21121"," 23236"," 21210"," 23313"," 23318"," 22952"," 22950"," 23234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","POST"," 22090"," 23298"," 47566"," 22668"," 23310"," 22992"," 84991"," 23308"," 23307"," 22951"," 21977"," 21976"," 20977"," 21123"," 21122"," 21124"," 21121"," 22437"," 22332"," 21327"," 21207"," 21213"," 20978"," 21987"," 21989"," 21988"," 22333"," 21843"," 21212"," 21080"," 21094"," 20979"," 21086"," 21058"," 21060"," 21062"," 21063"," 21059"," 22819"," 22908"," 22029"," 22613"," 21381"," 47590A"," 47590B"," 22620"," 21499"," 21500"," 16169M"," 21498"," 21495"," 22704"," 22046"," 22045"," 22706"," 22707"," 22708"," 23545"," 16156L"," 16156S"," 16161U"," 22712"," 21199"," 21508"," 22716"," 21380"," 21126"," 21197"," 22907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","22128"," 20972"," 22585"," 21107"," 21106"," 21358"," 21356"," 21355"," 22423"," 22699"," 22698"," 84987"," 21974"," 21408"," 22915"," 72807A"," 22478"," 22224"," 84884A"," 22697"," 21651"," M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","85227"," 16237"," 21576"," 21579"," 21770"," 22629"," 22631"," 22630"," 22708"," 22045"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","85123A"," 21031"," 21026"," 21025"," 21032"," 21030"," 21027"," 22804"," 21733"," 20846"," 20972"," 22749"," 22274"," 22272"," 22751"," 22569"," 22568"," 20970"," 20969"," 20967"," 22150"," 22149"," 22147"," 22270"," 72741"," 47566"," 47590B"," 47590A"," 21326"," 22214"," 22465"," 22784"," 22291"," 85195"," 21357"," 21356"," 21355"," 21358"," 20974"," 22070"," 22071"," 35961"," 22294"," 21683"," 21684"," 22297"," 22335"," 22296"," 20961"," 20963"," 20966"," 18097C"," 22083"," 22085"," 22088"," 21207"," 22087"," 21188"," 20707"," 47574A"," 22582"," 21189"," 21231"," 35924"," 21106"," 21110"," 21109"," 21232"," 85194L"," 21107"," 84879"," 21385"," 21111"," 22746"," 22745"," 22747"," 22748"," 21112"," 21381"," 21390"," 21108"," 21380"," 37449"," 37446"," 22962"," 21428"," 22113"," 22313"," 22312"," POST"," 84568"," 84598"," 22224"," 37495"," 21055"," 21056"," 22565"," 22566"," 22570"," 22273"
"22","22915"," 22924"," 23156"," 23157"," 23158"," 23159"," 17012D"," 21055"," 85227"," 22745"," 22139"," 22311"," 22314"," 22312"," 22313"," 22834"," 22632"," 22865"," 22866"," 21479"," 84030E"," 21485"," 84029G"," 21481"," 22113"," 22111"," 23355"," 23356"," 23357"," 23358"," 20961"," 20963"," 72741"," 85036B"," 85035B"," 85034C"," 85035C"," 85036C"," 85034A"," 85035A"," 85036A"," 72819"," 21693"," 21689"," 21615"," 21616"," 21620"," 21617"," 21494"," 84347"," 21625"," 22123"," 22939"," 20727"," 20725"," 21558"," 22352"," 22989"," 22423"," 22181"," 22398"," 22923"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","22659"," 22630"," 22631"," 22326"," 22328"," 21452"," 22539"," 22538"," 22544"," 22540"," 22556"," 21791"," 22550"," 21578"," 21577"," 20750"," 22376"," 22374"," 22629"," POST"," 16156L"," 16156S"," 16161U"," 22045"," 22704"," 22705"," 22711"," 23232"," 22551"," 22555"," 22138"," 22329"," 23433"," 23244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","20713"," 21931"," 22553"," 20724"," 20719"," 20726"," 22328"," 20712"," 22326"," 21481"," 85099B"," 22356"," 20728"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","72741"," 85174"," 22423"," 84992"," 46775D"," 22810"," 22734"," 22739"," 22735"," 22732"," 22733"," 22144"," 21108"," 23320"," 21485"," 22112"," 22113"," 22114"," 21106"," 21788"," 21789"," 23497"," 23571"," 22956"," 22955"," 22408"," 22644"," 23353"," 23354"," 22818"," 22441"," 22442"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","84997D"," 84997C"," 20719"," 22356"," 23200"," 23203"," 20713"," 20749"," 22355"," 21929"," POST"," 20712"," 85099C"," 21930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","22837"," 22112"," 22953"," 22813"," 22314"," 22190"," 22540"," 22544"," 22546"," 22545"," 22539"," 22538"," 22555"," 22556"," 22659"," 22631"," 22629"," 22630"," 21832"," 22714"," 22713"," 22029"," 22037"," 21506"," 22422"," 22551"," 22727"," 22726"," 22730"," 22725"," 22728"," 22729"," 21877"," 21871"," 84050"," 22328"," 22303"," 22300"," 22301"," 22109"," 22108"," 22107"," 22302"," 21206"," 22197"," 20750"," 20662"," 20856"," 22449"," 37495"," 85206A"," 22448"," 21380"," 47590A"," 22090"," 21365"," 22367"," 21080"," 21094"," 22501"," 84997D"," 84997C"," 21559"," 22326"," 21561"," 22716"," 16012"," 21721"," 21680"," 22746"," 22021"," POST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","22747"," 85227"," 22746"," 22748"," 22550"," 22619"," 23229"," 23080"," 84568"," 22332"," 47599A"," 22333"," 22334"," 21935"," 22374"," 22371"," 21039"," 23000"," 20750"," 20682"," 20686"," 21707"," 21709"," 21706"," 85014A"," 22449"," 84912A"," 22687"," 22737"," 22739"," 22075"," 23319"," 22589"," 23267"," 23101"," 23102"," 23129"," 23223"," 23221"," 22945"," 21098"," 23311"," 23268"," 23270"," 22942"," 22943"," 85048"," 22957"," 22857"," 22148"," 22254"," 22255"," 22729"," 22189"," 22588"," 22435"," 22434"," 22436"," 22930"," 47559B"," 21154"," 21212"," 20754"," 22852"," 23183"," 22981"," 22982"," 84828"," 84378"," 22965"," 84380"," 22966"," 22964"," 20725"," 20728"," 21561"," 21558"," 22326"," 21559"," 22328"," 22628"," 22329"," 22629"," 22383"," 22384"," 22631"," 23206"," 22659"," 23207"," 23209"," 22990"," 47567B"," 47591D"," 23252"," 23251"," 23250"," 23249"," 22839"," 22838"," 22841"
"29","20750"," 20665"," 20674"," 20676"," 21246"," 22303"," 22301"," 22302"," 84997B"," 22908"," 22740"," 23236"," 21080"," 22352"," 23238"," 22659"," 22631"," 22619"," 21212"," POST"," 20725"," 20726"," 22383"," 23208"," 22382"," 22384"," 23204"," 20728"," 23206"," 23199"," 21424"," 21426"," 22554"," 22326"," 22328"," 22551"," 22556"," 22555"," 85099B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23206"," 23256"," 23199"," 23204"," 20712"," 23254"," 22379"," 22381"," 22380"," 22386"," 22385"," 85099B"," 85099F"," 22356"," 22355"," 20719"," 20724"," 20723"," 21578"," 21936"," 21937"," 20725"," 20728"," 20726"," 22326"," 22382"," 22383"," 22384"," 84997B"," 84997D"," 22362"," 22363"," 20685"," 22399"," 22398"," POST"," 21931"," 20713"," 23201"," 21429"," 21648"," 47590A"," 22668"," 47590B"," 22328"," 22628"," 21976"," 21731"," 22299"," 23156"," 21883"," 21452"," 22960"," 23237"," 23240"," 23236"," 23191"," 22759"," 84997C"," 84997A"," 23310"," 23369"," 22467"," 21463"," 21464"," 21121"," 21212"," 70006"," 22435"," 22436"," 23480"," 23084"," 22504"," 21439"," 21621"," 22329"," 23207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22635"," 22634"," 21340"," 22492"," 47566"," 16169E"," 22894"," 21481"," 22945"," 22720"," 22621"," 23199"," 23048"," 21791"," 21912"," 22596"," 22418"," 23108"," 22630"," 22629"," 23243"," 22895"," 22955"," 84380"," 22932"," 23346"," 23345"," 23319"," 23293"," 22979"," 22982"," 22807"," 22966"," 23308"," 22535"," 22898"," 22179"," 22938"," 35471D"," 84347"," 85132C"," 22964"," 21731"," 22937"," 85159B"," 22723"," 22965"," 22139"," 21314"," 84356"," 21115"," 21249"," 21251"," 22423"," 23163"," 84880"," 23297"," 22666"," 22993"," 23198"," 22941"," POST"," 22466"," 23480"," 23084"," 23215"," 22952"," 21976"," 22417"," 21212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","21121"," 21122"," 21124"," 21125"," 21126"," 21123"," 21918"," 22539"," 22544"," 22540"," 22547"," 21703"," 20973"," 20974"," 20975"," 16045"," 22489"," 84692"," 21212"," 21213"," 22417"," 21975"," 22491"," 22492"," 22080"," 22082"," 22722"," 22315"," 22090"," 21086"," 21987"," 21094"," 21988"," 21080"," 21989"," 22316"," POST"," 22543"," 22551"," 22553"," 22556"," 22554"," 21218"," 22625"," 22930"," 22933"," 22965"," 84375"," 22966"," 20677"," 20676"," 20675"," 22630"," 22631"," 22629"," 22624"," 21244"," 21243"," 21242"," 21240"," 21239"," 21238"," 22333"," 22168"," 22487"," 22760"," 84563A"," 84563B"," 22975"," 22977"," 22326"," 22328"," 84997B"," 84997D"," 22501"," 22029"," 22716"," 21508"," 22717"," 84997A"," 22894"," 22981"," 23094"," 79000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","23108"," 20750"," 22377"," 22252"," 22628"," 22328"," 23245"," 22215"," 22423"," 23173"," 84279P"," 23295"," 22326"," POST"," 21892"," 23084"," 22632"," 85099F"," 23494"," 22692"," 20685"," 15056BL"," 21430"," 22366"," 23480"," 22622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
